Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,11.00,22.00,8.00,5.00,0.00,0.00,0.00
France,6.00,5.00,30.00,18.00,0.00,0.00,0.00
Italy,0.00,3.00,25.00,12.00,0.00,0.00,0.00
Belgium,0.00,21.00,11.00,18.00,0.00,0.00,0.00
Switzerland,0.00,0.00,14.00,17.00,0.00,0.00,0.00
Spain,0.00,5.00,19.00,10.00,0.00,0.00,0.00
USA,0.00,2.00,14.00,17.00,0.00,0.00,0.00
UnitedKingdom,0.00,0.00,19.00,13.00,0.00,0.00,0.00


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Australia,1.00,6.00,9.00,15.00,0.00,0.00,0.00
USA,2.00,3.00,8.00,10.00,0.00,0.00,0.00
UnitedKingdom,0.00,3.00,12.00,12.00,0.00,0.00,0.00
Switzerland,0.00,1.00,10.00,12.00,0.00,0.00,0.00
Taiwan,1.00,5.00,6.00,8.00,0.00,0.00,0.00
India,0.00,4.00,8.00,8.00,0.00,0.00,0.00
Germany,0.00,3.00,9.00,11.00,0.00,0.00,0.00
Belgium,1.00,1.00,5.00,11.00,0.00,0.00,0.00
