Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
California,2.40,4.78,25.33,26.52,1.76,0.57,0.10
NewYork,1.32,3.13,30.75,28.14,0.31,0.09,0.35
Virginia,1.08,1.22,15.71,20.11,0.26,0.00,0.00
Pennsylvania,0.12,2.16,13.37,13.28,0.06,0.00,0.02
Washington,0.01,1.97,19.85,11.28,0.44,0.00,0.00
Michigan,0.56,3.59,21.30,22.42,0.56,0.02,0.00
Illinois,1.82,3.00,8.21,11.73,2.98,6.30,2.17
Florida,0.62,2.96,23.18,23.74,0.39,0.27,0.05


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Maryland,0.30,1.44,17.58,24.05,0.00,0.00,0.00
Florida,0.84,3.75,22.07,18.05,0.63,1.58,0.10
NewYork,0.74,2.31,20.70,14.90,0.53,1.98,1.05
Utah,2.04,3.41,19.62,14.15,0.43,0.00,0.00
Virginia,1.20,2.13,22.75,20.84,0.06,0.00,0.00
Minnesota,0.16,2.08,18.72,19.81,0.91,2.00,0.19
Arizona,0.90,2.05,13.45,10.61,0.40,0.50,0.10
Connecticut,0.37,1.36,15.05,19.20,0.44,0.57,0.00
