Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
California,10.00,13.00,26.00,66.00,0.00,0.00,0.00
NewYork,0.00,0.00,12.00,78.00,0.00,1.00,0.00
Virginia,2.00,12.00,39.00,35.00,0.00,0.00,0.00
Pennsylvania,0.00,0.00,38.00,43.00,0.00,0.00,0.00
Washington,0.00,2.00,24.00,41.00,0.00,0.00,0.00
Michigan,0.00,0.00,25.00,40.00,0.00,0.00,0.00
Illinois,0.00,1.00,13.00,28.00,9.00,0.00,1.00
Florida,0.00,0.00,4.00,48.00,0.00,0.00,0.00


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Maryland,0.00,1.00,18.00,34.00,0.00,0.00,0.00
Florida,0.00,4.00,17.00,29.00,1.00,0.00,1.00
NewYork,0.00,2.00,14.00,31.00,3.00,0.00,1.00
Utah,2.00,1.00,15.00,32.00,0.00,0.00,0.00
Virginia,3.00,1.00,8.00,36.00,0.00,0.00,0.00
Minnesota,0.00,2.00,11.00,32.00,1.00,0.00,1.00
Arizona,0.00,3.00,10.00,33.00,0.00,0.00,0.00
Connecticut,0.00,1.00,9.00,34.00,1.00,0.00,0.00
